Brand,Store Name,Latitude,Longitude,Address,Region
7-Eleven Malaysia,7 Eleven (2134) Viva City,1.5270093999999999,110.3710898,"93350 Kuching, Sarawak, Malaysia",Kuching
7-Eleven Malaysia,7 eleven UUS telipok,6.091514399999999,116.183404,"7 eleven malaysia sdn bhd No. Sg-6, lot 6, ground floor, University utama square phase 7b, lrg, 3a, Lorong Dataran Utama, 81000 Telipok, Sabah, Malaysia",Kota Kinabalu
7-Eleven Malaysia,7 eleven regional office sabah,5.979242,116.0709841,"3rd floor, Pusat Bandar Kota Kinabalu, 88000 Kota Kinabalu, Sabah, Malaysia",Kota Kinabalu
7-Eleven Malaysia,7-Eleven,3.1427266,101.69655859999999,"Ground Floor, 210, Jalan Tun H S Lee, City Centre, 50000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Kuala Lumpur
7-Eleven Malaysia,7-Eleven,3.1432271999999997,101.7095442,"Level 3A, Podium Block, Plaza Berjaya, 12, Jln Imbi, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Kuala Lumpur
7-Eleven Malaysia,7-Eleven,3.134525,101.6861466,"3, Jalan Travers, Kuala Lumpur Sentral, 50470 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Kuala Lumpur
7-Eleven Malaysia,7-Eleven,3.1462695,101.7005253,"10, Jln Pudu, City Centre, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Kuala Lumpur
7-Eleven Malaysia,7-Eleven,3.151521,101.69802039999999,"180-182, Jln Ampang, Kuala Lumpur, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Kuala Lumpur
7-Eleven Malaysia,7-Eleven,3.1515505,101.6957451,"21, Jalan Tuanku Abdul Rahman, City Centre, 50100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Kuala Lumpur
7-Eleven Malaysia,7-Eleven,3.1457089,101.7101546,"82-84, Jln Bukit Bintang, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Kuala Lumpur
